time	sample_size	area_occupied	num_segregating	pi	zmar	fstavg	fstmax	% habitat loss	original_num_seg	original_pi	time passed (slim ticks)	% pi	% num_segregating	habitat loss	Time passed (in Generations)
29975	1000	0.5067798554667048	44844	6.905599421211382e-05	0.2764285039051106	0.3508602661552299	0.7645864570364268	60.0	117593	0.0001524948909243	155025	45.28413627076458	38.13492299711718	WE_0.6_6	34450.0
24975	1000	0.4996905241451138	44448	6.663566296648987e-05	0.2654876676923555	0.3332844682014841	0.7112389586238959	60.0	117593	0.0001524948909243	160025	43.6969806415144	37.798168258314696	WE_0.6_6	35561.11111111111
19975	1000	0.497528626028477	43670	6.458825915458507e-05	0.271154076351298	0.3877935777744535	0.7962831362177022	60.0	117593	0.0001524948909243	165025	42.354375784725356	37.13656425127346	WE_0.6_6	36672.22222222222
14975	1000	0.506572915190638	43402	6.415133257129275e-05	0.2807650976845252	0.3572405456919007	0.8240982908582203	60.0	117593	0.0001524948909243	170025	42.067856950786705	36.9086595290536	WE_0.6_6	37783.333333333336
9975	1000	0.5060596327451766	44078	6.2568005587801e-05	0.2755213541343625	0.3104291734409582	0.6786778449936802	60.0	117593	0.0001524948909243	175025	41.02957496383298	37.483523679130556	WE_0.6_6	38894.444444444445
4975	1000	0.5003902354990148	44015	6.479543912456847e-05	0.2689827088197287	0.3256307047778448	0.6289122289194201	60.0	117593	0.0001524948909243	180025	42.49023605435646	37.4299490615938	WE_0.6_6	40005.555555555555
185000	1000	0.9909727499403352	112892	0.0001557997384442	0.2394370119922746	0.2111880451495412	0.4391874201094975	60.0	118070	0.0001535828608874	0	101.44344072248094	95.61446599474888	WE_0.6_7	0.0
85001	1814	0.9961030555040232	118070	0.0001535828608874	0.256578775804848	0.2298745165807612	0.5291358893187947	60.0	118070	0.0001535828608874	99999	100.0	100.0	WE_0.6_7	22222.0
85000	1334	0.5016193399837788	85346	0.0001463938373614	0.1859020074810445	0.2031266413218368	0.4289731180336252	60.0	118070	0.0001535828608874	100000	95.31912383682536	72.28423816380113	WE_0.6_7	22222.222222222223
84999	1000	0.4989363614816456	83311	0.000146233554052	0.1801694336198584	0.2105419956072082	0.4323335827519447	60.0	118070	0.0001535828608874	100001	95.21476107884969	70.56068433979843	WE_0.6_7	22222.444444444445
84975	1000	0.5037332332463991	82231	0.0001467490426763	0.1749497836045919	0.2322365939278561	0.4683247550454301	60.0	118070	0.0001535828608874	100025	95.55040310382662	69.64597272804268	WE_0.6_7	22227.777777777777
79975	1000	0.504288183604845	61755	0.0001246164091996	0.1953298412456408	0.3400442485521827	0.7102522248460578	60.0	118070	0.0001535828608874	105025	81.13952851221016	52.30371813331075	WE_0.6_7	23338.88888888889
74975	1000	0.5086869912137786	56193	0.0001094751298449	0.2122351973173846	0.3430058448520249	0.7010802618988325	60.0	118070	0.0001535828608874	110025	71.28082470423716	47.592953332768694	WE_0.6_7	24450.0
69975	1000	0.5033850985394519	52490	9.406564691846918e-05	0.2175059096443021	0.3253003605922545	0.6817774977829918	60.0	118070	0.0001535828608874	115025	61.24748971008807	44.456678241721015	WE_0.6_7	25561.11111111111
64975	1000	0.5049667247619791	49744	8.503029606303717e-05	0.2491531493281992	0.3434765475910191	0.7594723901571595	60.0	118070	0.0001535828608874	120025	55.364443383677774	42.13093927331244	WE_0.6_7	26672.222222222223
59975	1000	0.5006332989952984	48211	7.778636528264959e-05	0.2372883536374586	0.3337639841279214	0.6668853126632206	60.0	118070	0.0001535828608874	125025	50.64781632091033	40.83255695773694	WE_0.6_7	27783.333333333332
54975	1000	0.501304939455918	45350	7.155746519760451e-05	0.2679315835274704	0.3582907573404327	0.7818692268711982	60.0	118070	0.0001535828608874	130025	46.59209027891934	38.4094181417803	WE_0.6_7	28894.444444444445
